mouseID,timepoint,label,rel_abun,treatment_group,index
neo.f2,Day 0,Alistipes,1.0479385944753412,neo,ft/ftXMyD88-/-
neo.f2,Day 0,Bacillota,15.291630279909914,neo,ft/ftXMyD88-/-
neo.f2,Day 0,Bacteria (Other),3.3690306568001103,neo,ft/ftXMyD88-/-
neo.f2,Day 0,Bacteroides,1.993228233059092,neo,ft/ftXMyD88-/-
neo.f2,Day 0,Bacteroidota,19.745369306430113,neo,ft/ftXMyD88-/-
neo.f2,Day 0,Corynebacterium,29.000628150327096,neo,ft/ftXMyD88-/-
neo.f2,Day 0,Pseudomonadota,1.320647760873895,neo,ft/ftXMyD88-/-
neo.f2,Day 0,Staphylococcus,0.15167532288458885,neo,ft/ftXMyD88-/-
neo.f2,Day 0,Streptococcus,27.21882612492531,neo,ft/ftXMyD88-/-
neo.f2,Day 7,Actinomycetota,0.7102961653394245,neo,ft/ftXMyD88-/-
neo.f2,Day 7,Akkermansia,8.40308525118513,neo,ft/ftXMyD88-/-
neo.f2,Day 7,Alistipes,3.559303471689848,neo,ft/ftXMyD88-/-
neo.f2,Day 7,Bacillota,15.970712017147237,neo,ft/ftXMyD88-/-
neo.f2,Day 7,Bacteria (Other),2.1434047280066335,neo,ft/ftXMyD88-/-
neo.f2,Day 7,Bacteroides,10.956396576810551,neo,ft/ftXMyD88-/-
neo.f2,Day 7,Bacteroidota,51.52306898008355,neo,ft/ftXMyD88-/-
neo.f2,Day 7,Corynebacterium,1.2563167858316255,neo,ft/ftXMyD88-/-
neo.f2,Day 7,Pseudomonadota,4.336874383966706,neo,ft/ftXMyD88-/-
neo.f2,Day 7,Staphylococcus,0.5663594974732856,neo,ft/ftXMyD88-/-
neo.f2,Day 7,Streptococcus,0.5741821424660106,neo,ft/ftXMyD88-/-
neo.f3,Day 0,Actinomycetota,0.28817383626821014,neo,ft/ftXMyD88-/-
neo.f3,Day 0,Akkermansia,0.2391229705204297,neo,ft/ftXMyD88-/-
neo.f3,Day 0,Alistipes,0.710011281699122,neo,ft/ftXMyD88-/-
neo.f3,Day 0,Bacillota,11.746456074949723,neo,ft/ftXMyD88-/-
neo.f3,Day 0,Bacteria (Other),0.6854858488252318,neo,ft/ftXMyD88-/-
neo.f3,Day 0,Bacteroides,1.6248099278952275,neo,ft/ftXMyD88-/-
neo.f3,Day 0,Bacteroidota,19.21077157011821,neo,ft/ftXMyD88-/-
neo.f3,Day 0,Corynebacterium,4.120272722813557,neo,ft/ftXMyD88-/-
neo.f3,Day 0,Pseudomonadota,0.657281601020258,neo,ft/ftXMyD88-/-
neo.f3,Day 0,Staphylococcus,0.13366360916270173,neo,ft/ftXMyD88-/-
neo.f3,Day 0,Streptococcus,60.58395055672732,neo,ft/ftXMyD88-/-
neo.f4,Day 0,Actinomycetota,0.41428372157902077,neo,ft/ftXMyD88-/-
